instance,n,algorithm,initial_len,initial_gap_pct,2opt_len,2opt_gap_pct,3opt_len,3opt_gap_pct,init_time,2opt_time,3opt_time
Tnm100.tsp,100,LPQI,1455836.7317667515,,1455836.7317667515,,1455836.7317667515,,0.08548770000925288,0.0036680999910458922,0.14654789998894557
Tnm100.tsp,100,MHLPQI,1432627.3396419056,,1432627.3396419056,,1432627.3396419056,,0.003687999997055158,0.003448000003118068,0.15093629999319091
Tnm100.tsp,100,HullRot-LPQI,1455836.7317667515,,1455836.7317667515,,1455836.7317667515,,0.6495638999913353,0.0037958000029902905,0.1577007999876514
Tnm103.tsp,103,LPQI,1511535.6316710738,,1511535.6316710738,,1511535.6316710738,,0.12680810000165366,0.003488699992885813,0.15670409999438561
Tnm103.tsp,103,MHLPQI,1489630.1033608613,,1485754.211333924,,1485754.211333924,,0.0038994000060483813,0.0068208999873604625,0.1603569000144489
Tnm103.tsp,103,HullRot-LPQI,1511535.6316710738,,1511535.6316710738,,1511535.6316710738,,0.7021215000131633,0.0036105000181123614,0.16391360000125133
Tnm106.tsp,106,LPQI,1510728.636579989,,1510728.636579989,,1510728.636579989,,0.10460960000636987,0.003744899993762374,0.1707139000063762
Tnm106.tsp,106,MHLPQI,1541877.1654798898,,1531502.8524456676,,1531502.8524456676,,0.003997599997092038,0.011514000012539327,0.1725956000154838
Tnm106.tsp,106,HullRot-LPQI,1510728.636579989,,1510728.636579989,,1510728.636579989,,0.7108962999773212,0.0036731000000145286,0.17466319998493418
Tnm109.tsp,109,LPQI,1587338.7241445037,,1587338.7241445037,,1587338.7241445037,,0.11293030000524595,0.004022799985250458,0.190102399996249
Tnm109.tsp,109,MHLPQI,1594319.5407061328,,1573503.2034852814,,1570862.9188735876,,0.004071599978487939,0.00832059999811463,0.19194920000154525
Tnm109.tsp,109,HullRot-LPQI,1587338.7241445037,,1587338.7241445037,,1587338.7241445037,,0.8810307999956422,0.010381400003097951,0.23266599999624304
Tnm112.tsp,112,LPQI,1649444.537916048,,1649444.537916048,,1649444.537916048,,0.1484117999789305,0.004613900004187599,0.22390240000095218
Tnm112.tsp,112,MHLPQI,1622822.1547815476,,1622822.1547815476,,1622822.1547815476,,0.004572100006043911,0.004195500019704923,0.2053318000107538
Tnm112.tsp,112,HullRot-LPQI,1649444.537916048,,1649444.537916048,,1649444.537916048,,0.8818815000122413,0.004657000012230128,0.2130864999780897
Tnm115.tsp,115,LPQI,1711885.694241332,,1711885.694241332,,1711885.694241332,,0.13724390001152642,0.004243000003043562,0.2205586000054609
Tnm115.tsp,115,MHLPQI,1687123.1998634683,,1687123.1998634683,,1687123.1998634683,,0.004490999999688938,0.004558699991321191,0.2246865999768488
Tnm115.tsp,115,HullRot-LPQI,1711885.694241332,,1711885.694241332,,1711885.694241332,,0.9233938000106718,0.004296900006011128,0.22297529998468235
Tnm118.tsp,118,LPQI,1774626.376546463,,1774626.376546463,,1774626.376546463,,0.1381606999784708,0.0045516999962273985,0.23809389999951236
Tnm118.tsp,118,MHLPQI,1743523.744241941,,1743523.744241941,,1743523.744241941,,0.004796099994564429,0.005071999999927357,0.23979160000453703
Tnm118.tsp,118,HullRot-LPQI,1774626.376546463,,1774626.376546463,,1774626.376546463,,0.9792241000104696,0.004497099987929687,0.23590679999324493
Tnm121.tsp,121,LPQI,1837642.560930006,,1837642.560930006,,1837642.560930006,,0.15185160000692122,0.004882699984591454,0.2577891999972053
Tnm121.tsp,121,MHLPQI,1811947.319525304,,1805783.3004941992,,1805783.3004941992,,0.00493669998832047,0.009919100004481152,0.2590819999750238
Tnm121.tsp,121,HullRot-LPQI,1837642.560930006,,1837642.560930006,,1837642.560930006,,1.0542175000009593,0.004767200007336214,0.2607297000067774
Tnm124.tsp,124,LPQI,1900906.618517373,,1900906.618517373,,1900906.618517373,,0.16022709998651408,0.005140099994605407,0.27771429999847896
Tnm124.tsp,124,MHLPQI,1862725.844159384,,1858162.5688589194,,1858162.5688589194,,0.005143600021256134,0.010972499992931262,0.2755590000015218
Tnm124.tsp,124,HullRot-LPQI,1900906.618517373,,1900906.618517373,,1900906.618517373,,1.1497230000095442,0.005026900005759671,0.2796508999890648
Tnm127.tsp,127,LPQI,1964400.4936810634,,1956507.4452017318,,1956507.4452017318,,0.17483049997827038,0.01590779999969527,0.3080097999772988
Tnm127.tsp,127,MHLPQI,1930089.5826933258,,1927090.8005533337,,1927090.8005533337,,0.009588800021447241,0.012647099996684119,0.3387543999997433
Tnm127.tsp,127,HullRot-LPQI,1964400.4936810634,,1956507.4452017318,,1956507.4452017318,,1.3843777000147384,0.017294199991738424,0.3435415999847464
Tnm130.tsp,130,LPQI,2028098.0159764842,,2028098.0159764842,,2028098.0159764842,,0.20052769998437725,0.005641499999910593,0.3691842000116594
Tnm130.tsp,130,MHLPQI,1999632.983128528,,1998154.2399305955,,1998154.2399305955,,0.005678699992131442,0.01195949999964796,0.35063390000141226
Tnm130.tsp,130,HullRot-LPQI,2028098.0159764842,,2028098.0159764842,,2028098.0159764842,,1.428195099986624,0.005528000008780509,0.34326220001094043
Tnm133.tsp,133,LPQI,2031756.2785729931,,2031756.2785729931,,2031756.2785729931,,0.20563250000122935,0.005916599999181926,0.3500151000043843
Tnm133.tsp,133,MHLPQI,1995099.3129753682,,1995099.3129753682,,1995099.3129753682,,0.005945000011706725,0.006080699997255579,0.37062490000971593
Tnm133.tsp,133,HullRot-LPQI,2031756.2785729931,,2031756.2785729931,,2031756.2785729931,,1.3990676999965217,0.005904599995119497,0.3498437000089325
Tnm136.tsp,136,LPQI,2095062.8545829197,,2095062.8545829197,,2095062.8545829197,,0.21138190000783652,0.006188800005475059,0.3661454000102822
Tnm136.tsp,136,MHLPQI,2062424.7942061916,,2056905.4485836967,,2056905.4485836967,,0.006063599983463064,0.01319080000394024,0.3706001999962609
Tnm136.tsp,136,HullRot-LPQI,2095062.8545829197,,2095062.8545829197,,2095062.8545829197,,1.498122599994531,0.006232499988982454,0.36732990000746213
Tnm139.tsp,139,LPQI,2158562.509877806,,2158562.509877806,,2158562.509877806,,0.2818585999775678,0.0064384999859612435,0.40056139999069273
