inst,n,alg,len,gap,init_t,lk_t
Tnm100.tsp,100,LPQI,1431453.510973963,,0.07132590000401251,0.005195299978367984
Tnm100.tsp,100,MHLPQI,1432627.3396419056,,0.0035272999957669526,0.004232200008118525
Tnm100.tsp,100,HullRot,1426904.3110100953,,0.1561887999996543,0.003950699989218265
Tnm103.tsp,103,LPQI,1490108.1477526666,,0.07968480000272393,0.004297400009818375
Tnm103.tsp,103,MHLPQI,1485754.211333924,,0.003880200005369261,0.004270100005669519
Tnm103.tsp,103,HullRot,1489454.4490287693,,0.1563849000085611,0.004019200016045943
Tnm106.tsp,106,LPQI,1520938.9396464438,,0.08729809999931604,0.004340200015576556
Tnm106.tsp,106,MHLPQI,1531502.8524456676,,0.0037694000056944788,0.004243600007612258
Tnm106.tsp,106,HullRot,1515568.3614381559,,0.17137060000095516,0.004203499993309379
Tnm109.tsp,109,LPQI,1563607.4969321326,,0.09452370001235977,0.004444000020157546
Tnm109.tsp,109,MHLPQI,1570862.9188735876,,0.004001399996923283,0.004282299982151017
Tnm109.tsp,109,HullRot,1557322.8275561132,,0.1838685999973677,0.004293799982406199
Tnm112.tsp,112,LPQI,1624910.9999548516,,0.1021737000264693,0.004493200016440824
Tnm112.tsp,112,MHLPQI,1622822.1547815476,,0.004394900024635717,0.004374299984192476
Tnm112.tsp,112,HullRot,1624910.9999548516,,0.19668490000185557,0.004618699982529506
Tnm115.tsp,115,LPQI,1686453.1605091274,,0.1481391999986954,0.004456299997400492
Tnm115.tsp,115,MHLPQI,1687123.1998634683,,0.004786400008015335,0.00444630000856705
Tnm115.tsp,115,HullRot,1686453.1605091274,,0.21297839999897406,0.0055413999943993986
Tnm118.tsp,118,LPQI,1748413.8725230396,,0.16258179998840205,0.0051552999939303845
Tnm118.tsp,118,MHLPQI,1743523.744241941,,0.005682100018020719,0.009468600008403882
Tnm118.tsp,118,HullRot,1748413.8725230396,,0.3055432999972254,0.005196900019655004
Tnm121.tsp,121,LPQI,1824056.020451021,,0.14702940001734532,0.00482709999778308
Tnm121.tsp,121,MHLPQI,1805783.3004941992,,0.005045300000347197,0.005218999984208494
Tnm121.tsp,121,HullRot,1824056.020451021,,0.25716780000948347,0.006207800004631281
Tnm124.tsp,124,LPQI,1879336.921505846,,0.14223519997904077,0.004885800008196384
Tnm124.tsp,124,MHLPQI,1858162.5688589194,,0.006460300006438047,0.004768600017996505
Tnm124.tsp,124,HullRot,1879336.921505846,,0.27210650002234615,0.005352500011213124
Tnm127.tsp,127,LPQI,1944002.9977591399,,0.1457687999936752,0.004811399994650856
Tnm127.tsp,127,MHLPQI,1927090.8005533337,,0.005576199997449294,0.004912400007015094
Tnm127.tsp,127,HullRot,1944002.9977591399,,0.33621740000671707,0.005536100012250245
Tnm130.tsp,130,LPQI,2003491.921646505,,0.17047219999949448,0.005098699999507517
Tnm130.tsp,130,MHLPQI,1998154.2399305955,,0.00623749999795109,0.005323299992596731
Tnm130.tsp,130,HullRot,2003491.921646505,,0.32155690001673065,0.00888229999691248
Tnm133.tsp,133,LPQI,2007971.8983686657,,0.21771309999166988,0.0054472000047098845
Tnm133.tsp,133,MHLPQI,1995099.3129753682,,0.005904299992835149,0.0053041999926790595
Tnm133.tsp,133,HullRot,2007971.8983686657,,0.33013950000167824,0.00525819999165833
Tnm136.tsp,136,LPQI,2070011.3322721308,,0.18926739998278208,0.0052130999974906445
Tnm136.tsp,136,MHLPQI,2056905.4485836967,,0.0061514999833889306,0.0055222999944817275
Tnm136.tsp,136,HullRot,2070011.3322721308,,0.36689629999455065,0.009751600009622052
Tnm139.tsp,139,LPQI,2149569.002991875,,0.20344379998277873,0.006230600003618747
Tnm139.tsp,139,MHLPQI,2114781.260620911,,0.006760899996152148,0.005291699984809384
Tnm139.tsp,139,HullRot,2149569.002991875,,0.3683323999866843,0.00529819997609593
Tnm142.tsp,142,LPQI,2164177.3322992423,,0.2053384000028018,0.005728800024371594
Tnm142.tsp,142,MHLPQI,2190252.878019687,,0.006649299990385771,0.005437599989818409
Tnm142.tsp,142,HullRot,2164177.3322992423,,0.42267259999061935,0.005584399972576648
Tnm145.tsp,145,LPQI,2261755.4982327735,,0.21725009998772293,0.005694599996786565
Tnm145.tsp,145,MHLPQI,2239823.7725584023,,0.007792299991706386,0.005481400003191084
Tnm145.tsp,145,HullRot,2240555.7053135596,,0.4567455000069458,0.005423399998107925
Tnm148.tsp,148,LPQI,2322424.545639949,,0.2217129000055138,0.005466500006150454
Tnm148.tsp,148,MHLPQI,2306092.327592188,,0.007741999987047166,0.005496900004800409
Tnm148.tsp,148,HullRot,2322424.545639949,,0.4737295999948401,0.005708500015316531
Tnm151.tsp,151,LPQI,2383166.104264356,,0.2369450999831315,0.005671699997037649
Tnm151.tsp,151,MHLPQI,2360850.751847224,,0.007707000011578202,0.02880239998921752
Tnm151.tsp,151,HullRot,2383166.104264356,,0.4774846000073012,0.005944500007899478
Tnm154.tsp,154,LPQI,2449692.210491158,,0.263019300007727,0.005813399999169633
Tnm154.tsp,154,MHLPQI,2422269.75432916,,0.00804960000095889,0.006350899988319725
Tnm154.tsp,154,HullRot,2449692.210491158,,0.5071897000016179,0.006054099998436868
Tnm157.tsp,157,LPQI,2510515.8454973213,,0.2807291999924928,0.006750500004272908
Tnm157.tsp,157,MHLPQI,2482511.1157100545,,0.013493600010406226,0.007524699991336092
Tnm157.tsp,157,HullRot,2510515.8454973213,,0.5411555000173394,0.006091200019000098
Tnm160.tsp,160,LPQI,2565741.8151846277,,0.28223219999927096,0.006033699988620356
Tnm160.tsp,160,MHLPQI,2533010.1654304685,,0.009371799998916686,0.006166900013340637
Tnm160.tsp,160,HullRot,2552077.726204695,,0.5655172000115272,0.006052799988538027
Tnm163.tsp,163,LPQI,2580624.2453124966,,0.30002299998886883,0.0061895000108052045
Tnm163.tsp,163,MHLPQI,2560015.039592766,,0.00945409998530522,0.006351499992888421
Tnm163.tsp,163,HullRot,2558319.1633582953,,0.5939325999934226,0.0070300999796018004
Tnm166.tsp,166,LPQI,2641714.05741407,,0.32535999998799525,0.006144799990579486
